id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal
700000,2022-05-28 10:27:06,台湾,94796,,0,126,,94670,1735067,0,13742,1784,0,0,,,
810000,2022-05-28 10:27:07,香港,46,,31,1,,14,332221,0,62129,9375,0,0,,,
420000,2022-05-28 00:00:31,湖北,0,,0,0,,0,68398,0,63886,4512,0,0,,,
310000,2022-05-28 08:45:03,上海,39,,162,0,,-123,62950,0,61074,595,0,0,,,
220000,2022-05-28 10:27:06,吉林,3,,4,0,,-1,40292,0,40081,5,0,0,,,
440000,2022-05-28 10:27:07,广东,2,,12,0,,-10,7291,0,7227,8,0,0,,,
110000,2022-05-28 08:08:57,北京,20,,43,0,,-23,3330,0,2750,9,0,0,2736.0,0.0,2165.0
610000,2022-05-28 00:00:30,陕西,0,,0,0,,0,3283,0,3274,3,0,0,,,
350000,2022-05-28 10:27:07,福建,12,,13,0,,-1,3232,0,3134,1,0,0,,,
410000,2022-05-28 09:41:04,河南,4,,9,0,,-5,3178,0,3036,22,0,0,,,
330000,2022-05-28 10:27:06,浙江,2,,5,0,,-3,3138,0,3110,1,0,0,,,
230000,2022-05-28 00:00:30,黑龙江,0,,0,0,,0,2983,0,2970,13,0,0,,,
370000,2022-05-28 07:50:57,山东,0,,0,0,,0,2735,0,2726,7,0,0,,,
510000,2022-05-28 10:27:06,四川,0,,3,0,,-3,2320,0,2079,3,0,0,,,
320000,2022-05-28 10:27:06,江苏,4,,1,0,,3,2234,0,2217,0,0,0,,,
530000,2022-05-28 07:50:56,云南,0,,2,0,,-2,2143,0,2126,2,0,0,,,
130000,2022-05-28 08:45:03,河北,0,,1,0,,-1,2004,0,1997,7,0,0,,,
120000,2022-05-28 08:45:03,天津,4,,0,0,,4,1962,0,1824,3,0,0,,,
150000,2022-05-28 00:00:31,内蒙古,0,,0,0,,0,1753,0,1752,1,0,0,,,
210000,2022-05-28 08:45:04,辽宁,2,,2,0,,0,1676,0,1669,2,0,0,,,
450000,2022-05-28 12:40:14,广西,0,,0,0,,4,1626,0,1610,2,0,0,,,
430000,2022-05-28 00:00:31,湖南,0,,0,0,,0,1393,0,1386,4,0,0,,,
360000,2022-05-28 00:00:30,江西,0,,0,0,,0,1383,0,1382,1,0,0,,,
340000,2022-05-28 00:00:30,安徽,0,,0,0,,0,1065,0,1059,6,0,0,,,
650000,2022-05-28 00:00:30,新疆,0,,0,0,,0,1008,0,1005,3,0,0,,,
500000,2022-05-28 12:42:14,重庆,0,,2,0,,-2,711,0,702,6,0,0,,,
620000,2022-05-28 00:00:30,甘肃,0,,0,0,,0,681,0,679,2,0,0,,,
140000,2022-05-28 00:00:31,山西,0,,0,0,,0,420,0,420,0,0,0,,,
460000,2022-05-28 00:00:30,海南,0,,0,0,,0,288,0,282,6,0,0,,,
520000,2022-05-28 00:00:31,贵州,0,,0,0,,0,185,0,183,2,0,0,,,
630000,2022-05-28 12:42:13,青海,0,,3,0,,-3,147,0,144,0,0,0,,,
640000,2022-05-28 00:00:30,宁夏,0,,0,0,,0,122,0,122,0,0,0,,,
820000,2022-05-28 12:40:13,澳门,0,,0,0,,1,83,0,82,0,0,0,,,
540000,2022-05-28 00:00:30,西藏,0,,0,0,,0,1,0,1,0,0,0,,,
